fragment_id,article_title,article_id,fragment_index,text,length
38,Animator vs. Animation,10,0,"Animator vs. Animation (AvA) is an American animated web series created by Alan Becker. The original animation was first published on Newgrounds on June 3, 2006, with a sequel following five months later.",204
39,Animator vs. Animation,10,1,", 2006, with a sequel following five months later. Almost every installment is animated in either Adobe Animate or Blender, with live action scenes having also been incorporated into the series starting with the fourth episode.",227
40,Animator vs. Animation,10,2," into the series starting with the fourth episode. The premise of the web-series is a stick figure attempting to escape the animation program they were created in, through using strategies such as the built-in animation tools or sheer brute force. The series contains almost no spoken dialogue.",294
41,Animator vs. Animation,10,3,"ce. The series contains almost no spoken dialogue. Known for its unique concept and high-quality animation, it became an immediate internet hit, receiving 4.78 stars on Newgrounds and 80 million views on YouTube. The fourth installment gained almost 5 million views on YouTube within a month.",292
42,Animator vs. Animation,10,4," almost 5 million views on YouTube within a month. A Kickstarter campaign for a reboot episode of the series was created July 10, 2013, reaching their 10,000 funding goal on August 9, 2013. The episode released on October 2, 2014. Multiple browser game adaptions of the series have been created, including one in 2006 titled Animator vs.",337
43,Joanna Krupa,11,0,"Joanna Krupa (Polish pronunciation: jɔˈanːa ˈkrupa) is a Polish-born American model, actress, and television presenter.",119
44,Joanna Krupa,11,1,"American model, actress, and television presenter. She is known internationally as the host and head judge of Polish Top Model (2010present) and has appeared on the reality television series Dancing with the Stars (2009) and The Real Housewives of Miami (20122013).",265
45,Hindolam,12,0,Hindōḷaṃ is a ragam in Carnatic music (musical scale of South Indian classical music). It is an audava rāgam (5 notes in arohana and avarohana) as it does not have all the seven swaras (musical notes). Hindolam is not the same as the Hindustani Hindol.,252
46,Hindolam,12,1,"Hindolam is not the same as the Hindustani Hindol. The equivalent of Hindolam in Hindustani music is Malkauns (or Malkosh). It is known to be a rāgam that is generally beautiful and soothing to listen to. Being symmetrical in its ascending and descending scales, it lends itself very well to improvisation and is therefore popular at concerts.",343
47,Zulfikar Ali Bhutto,13,0,Zulfikar Ali Bhutto (5 January 1928  4 April 1979) was a Pakistani barrister and politician who served as the fourth president of Pakistan from 1971 to 1973 and later as the ninth prime minister of Pakistan from 1973 until his overthrow in 1977.,245
48,Zulfikar Ali Bhutto,13,1,"of Pakistan from 1973 until his overthrow in 1977. He was also the founder and first chairman of the Pakistan People's Party (PPP) from 1967 until his execution in 1979. Born in Sindh and educated at the University of California, Berkeley and the University of Oxford, Bhutto trained as a barrister at Lincoln's Inn before entering politics.",341
49,Zulfikar Ali Bhutto,13,2,"rrister at Lincoln's Inn before entering politics. He was a cabinet member during President Iskandar Ali Mirza's tenure, holding various ministries during president Ayub Khan's military rule from 1958. Bhutto became the Foreign Minister in 1963, advocating for Operation Gibraltar in Kashmir, leading to the 1965 war with India.",328
50,Zulfikar Ali Bhutto,13,3,"ar in Kashmir, leading to the 1965 war with India. Following the Tashkent Declaration, he was dismissed from the government. Bhutto established the PPP in 1967, focusing on an Islamic socialist agenda, and contested the 1970 general election.",242
51,Zulfikar Ali Bhutto,13,4,"t agenda, and contested the 1970 general election. The Awami League and PPP were unable to agree on power transfer, leading to civil unrest and the creation of Bangladesh. After Pakistan's loss in the 1971 war against Bangladesh, Bhutto assumed the presidency in December 1971, imposing emergency rule.",302
52,Zulfikar Ali Bhutto,13,5,"sidency in December 1971, imposing emergency rule. Bhutto secured the release of 93,000 prisoners of war through the Delhi Agreement, a trilateral accord signed between India, Pakistan, and Bangladesh on 28 August 1973, and ratified only by India and Pakistan.",260
53,Zulfikar Ali Bhutto,13,6,"ust 1973, and ratified only by India and Pakistan. He also reclaimed five thousand square miles (13,000 km2) of Indian-held territory through the Simla Agreement, signed between India and Pakistan in the Indian town of Simla in July 1972.",238
54,Zulfikar Ali Bhutto,13,7,"Pakistan in the Indian town of Simla in July 1972. He strengthened diplomatic ties with China and Saudi Arabia, recognized Bangladesh, and hosted the second Organisation of the Islamic Conference in Lahore in 1974. Bhutto's government drafted the current constitution of Pakistan in 1973, after which he transitioned to the prime minister's office.",348
55,Zulfikar Ali Bhutto,13,8,"ch he transitioned to the prime minister's office. He played a crucial role in initiating the country's nuclear program. However, his policies, including extensive nationalisation which has remained controversial throughout.",224
56,Zulfikar Ali Bhutto,13,9,"ation which has remained controversial throughout. Despite winning the 1977 parliamentary elections, Bhutto faced allegations of widespread vote rigging, sparking violence across the country. On 5 July 1977, Bhutto was deposed in a military coup by army chief Muhammad Zia-ul-Haq.",280
57,Zulfikar Ali Bhutto,13,10,"a military coup by army chief Muhammad Zia-ul-Haq. Controversially tried and executed in 1979, Bhutto's legacy remains contentious, praised for nationalism and a secular internationalist agenda, yet criticized for political repression, economic challenges, and human rights abuses. He is often considered one of Pakistan's greatest leaders.",340
58,Zulfikar Ali Bhutto,13,11,"ten considered one of Pakistan's greatest leaders. His party, the PPP, continues to be a significant political force in Pakistan, with his daughter Benazir Bhutto serving twice as Prime Minister, and his son-in-law, Asif Ali Zardari, becoming president.",253
59,Nobody 2,14,0,"Nobody 2 is an upcoming American action thriller film directed by Timo Tjahjanto and written by Derek Kolstad and Aaron Rabin, from a story and characters by Kolstad. It serves as the sequel to the 2021 film Nobody.",215
60,Nobody 2,14,1,". It serves as the sequel to the 2021 film Nobody. Bob Odenkirk, Connie Nielsen, RZA, Michael Ironside, Colin Salmon, Billy MacLellan, Gage Munroe, Paisley Cadorath and Christopher Lloyd all reprise their roles from the first film while Colin Hanks, John Ortiz, and Sharon Stone all play new characters.",303
61,Nobody 2,14,2,"n Ortiz, and Sharon Stone all play new characters. The film is scheduled for North American release on August 15, 2025.",119
62,Erik Barnouw Award,15,0,"The Erik Barnouw Awardalso known as the OAH Erik Barnouw Awardis named after the late Erik Barnouw, a Columbia University historian and professor who was a specialist in mass media.",181
63,Erik Barnouw Award,15,1," and professor who was a specialist in mass media. The OAH -- Organization of American Historians -- gives one or two awards annually to recognize excellent programs, from mass media or documentary films, that relate to American history or further its study. The award was first presented in 1983.",297
64,List of current UFC fighters,16,0,"This list of current UFC fighters records current Ultimate Fighting Championship (UFC) fighters' information, country origins, recent fighter signings and departures, fight schedules and results and the champion of each division.",229
65,List of current UFC fighters,16,1,"les and results and the champion of each division. As of 29 March 2025, the UFC roster consisted of fighters from 75 countries.",127
66,2024 Italian Open – Men's singles,17,0,"Alexander Zverev defeated Nicolás Jarry in the final, 64, 75 to win the men's singles tennis title at the 2024 Italian Open. It was his sixth ATP 1000 title and 22nd career title. Daniil Medvedev was the defending champion, but lost to Tommy Paul in the fourth round.",267
67,2024 Italian Open – Men's singles,17,1,"mpion, but lost to Tommy Paul in the fourth round. Hubert Hurkacz became the sixth player born in the 1990s (after Dominic Thiem, Stefanos Tsitsipas, Zverev, Grigor Dimitrov, and Medvedev) to reach at least the quarterfinals at all nine ATP 1000 events.",253
68,2024 Italian Open – Men's singles,17,2,ast the quarterfinals at all nine ATP 1000 events. Taylor Fritz became the first American man to reach the quarterfinals of all three clay court Masters events.,160
69,2024 Italian Open – Men's singles,17,3,"rterfinals of all three clay court Masters events. Alejandro Tabilo and Jarry became the first Chilean players to reach an ATP 1000 semifinal since Fernando González at the 2009 Italian Open, and marked the first time that multiple Chileans reached the semifinals of the same 1000 event.",287
70,2024 Italian Open – Men's singles,17,4,"ans reached the semifinals of the same 1000 event. With his win against Novak Djokovic in the third round, Tabilo also became the second Chilean (after González) to defeat a reigning world No. 1. Djokovic's loss marked the first time that he failed to reach the quarterfinals at this tournament. This marked the final appearance of former world No.",348
71,2024 Italian Open – Men's singles,17,5,"is marked the final appearance of former world No. 1 and ten-time champion Rafael Nadal, at an ATP Masters 1000 tournament; he lost in the second round to Hurkacz.",163
72,Adam Walton (tennis),18,0,Adam Walton (born 17 April 1999) is an Australian professional tennis player. Walton has a career high ATP singles ranking of world No. 85 achieved on 31 March 2025. He also has a career high doubles ranking of No. 136 achieved on 4 March 2024.,244
73,Adam Walton (tennis),18,1,ubles ranking of No. 136 achieved on 4 March 2024. He has won four singles and four doubles titles on the ATP Challenger Tour.,126
74,Iron bird (aviation),19,0,"An iron bird is a ground-based test rig used for prototyping and integrating aircraft systems during the development of new aircraft designs. It is almost a complete light aircraft, but without any fuselage, superstructure, seating, and other non-flight-systems equipment.",272
75,Iron bird (aviation),19,1,", seating, and other non-flight-systems equipment. Aircraft systems are installed into the iron bird so their functions can be tested both individually and in correlation with other systems.",190
76,Notre-Dame de Clignancourt,20,0,"Notre-Dame de Clignancourt (Our Lady of Clignancourt) is a Roman Catholic church located in the 18th arrondissement of Paris. Completed in 1863, the church takes its name from Clignancourt, a small village in the commune of Montmartre that was annexed to Paris in 1860.",269
77,Notre-Dame de Clignancourt,20,1,e of Montmartre that was annexed to Paris in 1860. It was built in the Romanesque Revival style. The church is located at 2 place Jules Joffrin (18th Are.). The nearest Metro stations are Jules Joffrin or Simplon.,213
78,Dream Big (Soda Blonde album),21,0,"Dream Big is the second studio album by Irish alternative pop band Soda Blonde, released on 8 September 2023 through their independent label, Overbite Records.",159
79,2025 Florida's 6th congressional district special election,22,0,"The 2025 Florida's 6th congressional district special election was held on April 1, 2025, to choose a new member of the U.S. House of Representatives.",150
80,2025 Florida's 6th congressional district special election,22,1,"a new member of the U.S. House of Representatives. The seat became vacant following the resignation of Republican incumbent Mike Waltz, who in 2024 had been re-elected with 66.5% of the vote, but was chosen by President Donald Trump to be his White House national security advisor. The district is considered a safely Republican.",329
81,2025 Florida's 6th congressional district special election,22,2,"r. The district is considered a safely Republican. Florida state senator Randy Fine won the Republican primary with 83% of the vote, defeating Aaron Baker and Ehsan Joarder. Progressive Schoolteacher Josh Weil won the Democratic primary with 61%, defeating Ges Selmont.",269
82,2025 Florida's 6th congressional district special election,22,3,"emocratic primary with 61%, defeating Ges Selmont. In the general election campaign, Weil outraised Fine by 10 million to under 1 million. In the April 1 general election, Fine defeated Weil by 14 percentage points though he won by significantly less margins than Trump and Waltz had in the 2024 elections.",306
83,2025 Florida's 6th congressional district special election,22,4,ns than Trump and Waltz had in the 2024 elections. The election was held alongside a concurrent special election for Florida's 1st congressional district.,154
84,Anna (gastropod),23,0,"Anna is a genus of sea snails, marine gastropod molluscs in the family Pisaniidae.",82
85,KTM Komuter Northern Sector,24,0,The KTM Komuter Northern Sector (Malay: KTM Komuter Utara) is one of the five KTM Komuter services run by Malaysian rail operator Keretapi Tanah Melayu (KTM).,158
86,KTM Komuter Northern Sector,24,1,"laysian rail operator Keretapi Tanah Melayu (KTM). The service was introduced on 11 September 2015 following the completion of the Ipoh-Padang Besar Electrification and Double-Tracking Project in December 2014, which also saw the extension of ETS services to Padang Besar from Ipoh.",282
87,KTM Komuter Northern Sector,24,2,"tension of ETS services to Padang Besar from Ipoh. Currently, the KTM Komuter Northern Sector consists of two routes, namely the Butterworth - Padang Besar route and the Ipoh - Butterworth route. The lines share tracks with KTM ETS services, though the Komuter services call at stations also not served by ETS.",310
88,International Standard Musical Work Code,25,0,"The International Standard Musical Work Code (ISWC) is a unique identifier for musical works, similar to the book's ISBN. It is adopted as international standard ISO 15707. The ISO subcommittee responsible for the standard is TC 46SC 9.",236
89,Paul Young (American politician),26,0,"Paul Young (born October 7, 1979) is an American politician who is the 65th and current mayor of Memphis, Tennessee. He has served since January 1, 2024, and is the fifth African-American mayor of Memphis.",205
90,"Benjamin Hall, 1st Baron Llanover",27,0,"Benjamin Hall, Baron Llanover (8 November 1802  27 April 1867) was a Whig  Liberal politician and social, church, health and local government reformer who served in the House of Commons from 1831 until his elevation to the peerage in 1859.",239
91,"Benjamin Hall, 1st Baron Llanover",27,1,m 1831 until his elevation to the peerage in 1859. As President of the Board of Health from 1854-1855 he was a minister in the Cabinet and thereafter occupied the non-Cabinet position of First Commissioner of Public Works until 1858.,233
92,"Benjamin Hall, 1st Baron Llanover",27,2, of First Commissioner of Public Works until 1858. In 1859 he was made a Peer as Lord Llanover of Llanover and Abercarn and served in the House of Lords until his death in 1867. He was a Minister under Lords Aberdeen and Palmerston and was a member of the Privy Council.,270
93,"Benjamin Hall, 1st Baron Llanover",27,3," Palmerston and was a member of the Privy Council. He was a prominent reformer whose primary focus in parliamentary debates was on church reform, local government and sanitation.",178
94,"Benjamin Hall, 1st Baron Llanover",27,4,"on church reform, local government and sanitation. He was the United Kingdom 's first Minister of Health , playing an import role in the development of modern systems for the management of health and sanitation in London and later , as First Commissioner for Works , established the Metropolitan Board of Works , the first metropolis-wide government",349
95,"Benjamin Hall, 1st Baron Llanover",27,5,"rd of Works , the first metropolis-wide government for London . He also oversaw the completion of the new Houses of Parliament and is today chiefly remembered as the person after whom Big Ben, the largest bell in its Elizabeth Tower, is named.",243
96,Takeshi Kovacs,28,0,"Takeshi Lev Kovacs is the protagonist in the books Altered Carbon (2002), Broken Angels (2003), and Woken Furies (2005) by Richard K. Morgan, which take place in or around the 26th century.",189
97,Shushama Das,29,0,"Shushama Das (Bengali: সষম দস; 1 May 1930  26 March 2025) was a Bangladeshi folk singer, who was awarded Ekushey Padak by the Government of Bangladesh in 2017.",159
98,Luce (film),30,0,"Luce is a 2019 American social thriller drama film co-produced and directed by Julius Onah, who co-wrote the screenplay with JC Lee, based on the 2013 play by Lee. It stars Naomi Watts, Octavia Spencer, Kelvin Harrison Jr., and Tim Roth.",237
99,Luce (film),30,1,"ctavia Spencer, Kelvin Harrison Jr., and Tim Roth. The film tells the story of a couple (Watts and Roth) forced to reconsider their marriage and their family after an extremely disturbing essay written by their adopted son (Harrison Jr.) is brought to their attention by his teacher (Spencer).",293
100,Luce (film),30,2,"ought to their attention by his teacher (Spencer). Principal photography took place in Roosevelt, New York and Los Angeles, California and the film was shot on 35mm film. Luce had its premiere at the Sundance Film Festival on January 27, 2019, and was released in the United States on August 2, by Neon.",303
101,Luce (film),30,3,"eleased in the United States on August 2, by Neon. It received positive reviews from critics, who praised the cast's performances, Onah's direction, the writing, and the film's themes. The film made over 2.3 million worldwide.",226
102,Luce (film),30,4," themes. The film made over 2.3 million worldwide. The film received multiple nominations from the various award organizations including the Black Reel Awards and various critics organizations, including the Hollywood Critics Association and the San Diego Film Critics Society Awards.",284
103,Video game adaptations in film and television,31,0,"A video game adaptation is primarily a film, television or web series that is based on a video game, usually incorporating elements of the game's plot or gameplay.",163
104,Alliance of Liberals and Democrats for Europe Party,32,0,"The Alliance of Liberals and Democrats for Europe Party (ALDE Party) is a European political party composed of 76 national-level parties from across Europe, mainly active in the European Union.",193
105,Alliance of Liberals and Democrats for Europe Party,32,1,"cross Europe, mainly active in the European Union. The ALDE Party is affiliated with Liberal International and a recognised European political party, incorporated as a non-profit association under Belgian law.",209
106,Alliance of Liberals and Democrats for Europe Party,32,2,"ted as a non-profit association under Belgian law. It was founded on 26 March 1976 in Stuttgart as a confederation of national political parties under the name ""Federation of Liberal and Democrat Parties in Europe"" and renamed ""European Liberals and Democrats"" (ELD) in 1977 and ""European Liberal Democrats and Reformists"" (ELDR) in 1986.",338
107,Alliance of Liberals and Democrats for Europe Party,32,3," Liberal Democrats and Reformists"" (ELDR) in 1986. On 30 April 2004, the ELDR was reformed as an official European party, the ""European Liberal Democrat and Reform Party"" (ELDR Party).",184
108,Alliance of Liberals and Democrats for Europe Party,32,4,"n Liberal Democrat and Reform Party"" (ELDR Party). On 10 November 2012 , under the leadership of Sir Graham Watson MEP , the party chose its current name ALDE Party , taken from its then-European Parliament group , the Alliance of Liberals and Democrats for Europe ( ALDE ) , which had been formed on 20 July 2004 in conjunction with the European",346
109,Alliance of Liberals and Democrats for Europe Party,32,5,"d on 20 July 2004 in conjunction with the European Democratic Party ( EDP ) . Prior to the 2004 European election, the European party had been represented through its own group, the European Liberal Democrat and Reform Party Group (ELDR) Group. In June 2019, the ALDE group was succeeded by Renew Europe.",304
110,Alliance of Liberals and Democrats for Europe Party,32,6,"019, the ALDE group was succeeded by Renew Europe. As of 2024, ALDE Party is represented in European Union institutions, with 51 MEPs and five members of the European Commission.",178
111,Alliance of Liberals and Democrats for Europe Party,32,7," MEPs and five members of the European Commission. Of the 27 EU member states, there are two with ALDE-affiliated Prime Ministers: Kristen Michal (Estonian Reform Party) in Estonia and Alexander De Croo (Open VLD) in Belgium.",225
112,Alliance of Liberals and Democrats for Europe Party,32,8,"tonia and Alexander De Croo (Open VLD) in Belgium. ALDE Party members are also in governments in ten other EU member states: Cyprus, France, Denmark, Finland, Sweden, Ireland, Luxembourg, Lithuania, Germany and the Netherlands. Charles Michel, former Belgian prime minister, was the president of the European Council until December 2024.",337
113,Alliance of Liberals and Democrats for Europe Party,32,9,"ident of the European Council until December 2024. ALDE's think tank is the European Liberal Forum, led by Jan-Christoph Oetjen MEP, and gathers 46 member organisations.",169
114,Alliance of Liberals and Democrats for Europe Party,32,10,"h Oetjen MEP, and gathers 46 member organisations. The youth wing of ALDE is the European Liberal Youth (LYMEC), which is predominantly based upon youth and student liberal organisations but contains also a small number of individual members. LYMEC is led by Ines Holzegger.",274
115,Alliance of Liberals and Democrats for Europe Party,32,11,"ndividual members. LYMEC is led by Ines Holzegger. In 2011, ALDE Party became the first pan-European party to create the status of individual membership. Since then, between 1000 and close to 3000 members (the numbers fluctuate annually) maintained direct membership in the ALDE Party from several EU countries.",311
116,Alliance of Liberals and Democrats for Europe Party,32,12,"rship in the ALDE Party from several EU countries. Over 40 coordinators mobilised liberal ideas, initiatives and expertise across the continent under the leadership of the steering committee, which was first chaired by Julie Cantalou.",234
117,Alliance of Liberals and Democrats for Europe Party,32,13,"mittee, which was first chaired by Julie Cantalou. The ALDE Party took a step further in the direction of becoming a truly pan-European party when granting voting rights to individual members delegates at the Party Congress. Individual membership was eventually discontinued in 2023.",283
118,Fourwalls,33,0,"Fourwalls is a 2022 Indian Kannada family drama film written and directed by S S Sajjan. The film is produced by T. Vishwanath Naik under SV Pictures Banner. The movie features Achyuth Kumar, Dattanna, Sujay Shastri, Dr.Pavitra, Baskar Ninasam  Dr.Janvi Jyothi in prominent roles.",280
119,Fourwalls,33,1,"askar Ninasam  Dr.Janvi Jyothi in prominent roles. Anand Rajavikram has composed the music and background score, editing by Satish Chandraiah and cinematography by Vadde Devendra Reddy.",185
120,Nancy DeBoer,34,0,"Nancy R. DeBoer is an American politician from Michigan. A member of the Republican Party, she was elected to the Michigan House of Representatives in the 2022 election from 86th district.",188
121,2025 Florida's 6th congressional district special election,35,0,"The 2025 Florida's 6th congressional district special election was held on April 1, 2025, to choose a new member of the U.S. House of Representatives.",150
122,2025 Florida's 6th congressional district special election,35,1,"a new member of the U.S. House of Representatives. The seat became vacant following the resignation of Republican incumbent Mike Waltz, who in 2024 had been re-elected with 66.5% of the vote, but was chosen by President Donald Trump to be his White House national security advisor. The district is considered a safely Republican.",329
123,2025 Florida's 6th congressional district special election,35,2,"r. The district is considered a safely Republican. Florida state senator Randy Fine won the Republican primary with 83% of the vote, defeating Aaron Baker and Ehsan Joarder. Progressive Schoolteacher Josh Weil won the Democratic primary with 61%, defeating Ges Selmont.",269
124,2025 Florida's 6th congressional district special election,35,3,"emocratic primary with 61%, defeating Ges Selmont. In the general election campaign, Weil outraised Fine by 10 million to under 1 million. In the April 1 general election, Fine defeated Weil by 14 percentage points though he won by significantly less margins than Trump and Waltz had in the 2024 elections.",306
125,2025 Florida's 6th congressional district special election,35,4,ns than Trump and Waltz had in the 2024 elections. The election was held alongside a concurrent special election for Florida's 1st congressional district.,154
126,Ministry of State Security (China),36,0,"The Ministry of State Security (MSS) is the principal civilian intelligence and security service of the People's Republic of China, responsible for foreign intelligence, counterintelligence, and defense of the political security and honor of the Chinese Communist Party (CCP).",276
127,Ministry of State Security (China),36,1,"ty and honor of the Chinese Communist Party (CCP). One of the largest and most secretive intelligence organizations in the world, it maintains powerful semi-autonomous branches at the provincial, city, municipality and township levels throughout China. The ministry's headquarters, Yidongyuan, is a large compound in Beijing's Haidian district.",344
128,Ministry of State Security (China),36,2,"is a large compound in Beijing's Haidian district. The origins of the MSS begin with the CCP's Central Special Branch, better known as the Teke, which was replaced by the Central Social Affairs Department from 1936 through the proclamation of the People's Republic in 1949.",273
